LMSD Examples,Input Mass
/resources/tools/chemdb_ontology?abbrev=ST 22:1;O3,347.25938
/resources/tools/chemdb_ontology?abbrev=ST 21:1;O,347.25938
/resources/tools/chemdb_ontology?abbrev=FA 20:6,299.20166
/resources/tools/chemdb_ontology?abbrev=ST 20:3;O2,299.20166
/resources/tools/chemdb_ontology?abbrev=FA 21:4;O2,349.23824
/resources/tools/chemdb_ontology?abbrev=ST 21:1;O4,349.23824
/resources/tools/chemdb_ontology?abbrev=FA 20:4,349.23824
/resources/tools/chemdb_ontology?abbrev=ST 20:1;O2,349.23824
/resources/tools/chemdb_ontology?abbrev=FA 19:4,349.23824
/resources/tools/chemdb_ontology?abbrev=ST 19:1;O2,349.23824
/resources/tools/chemdb_ontology?abbrev=FA 15:2,283.19157
/resources/tools/chemdb_ontology?abbrev=SFE 15:2,283.19157
/resources/tools/chemdb_ontology?abbrev=WE 15:2,283.19157
/resources/tools/chemdb_ontology?abbrev=FA 14:2,283.19157
/resources/tools/chemdb_ontology?abbrev=SFE 14:2,283.19157
/resources/tools/chemdb_ontology?abbrev=WE 14:2,283.19157
/resources/tools/chemdb_ontology?abbrev=FA 18:1,281.24893
/resources/tools/chemdb_ontology?abbrev=SFE 18:1,281.24893
/resources/tools/chemdb_ontology?abbrev=ST 24:1;O4,437.29106
/resources/tools/chemdb_ontology?abbrev=FA 23:4;O2,437.29106
/resources/tools/chemdb_ontology?abbrev=FOH 23:5;O3,437.29106
/resources/tools/chemdb_ontology?abbrev=MG 20:4,437.29106
/resources/tools/chemdb_ontology?abbrev=ST 23:1;O4,437.29106
/resources/tools/chemdb_ontology?abbrev=FA 26:6;O4,447.27524
/resources/tools/chemdb_ontology?abbrev=MG 22:6,447.27524
/resources/tools/chemdb_ontology?abbrev=ST 26:3;O3,447.27524
/resources/tools/chemdb_ontology?abbrev=ST 24:3;O4,447.27524
/resources/tools/chemdb_ontology?abbrev=FA 15:2,283.19179
/resources/tools/chemdb_ontology?abbrev=SFE 15:2,283.19179
/resources/tools/chemdb_ontology?abbrev=WE 15:2,283.19179
/resources/tools/chemdb_ontology?abbrev=FA 14:2,283.19179
/resources/tools/chemdb_ontology?abbrev=SFE 14:2,283.19179
/resources/tools/chemdb_ontology?abbrev=WE 14:2,283.19179
/resources/tools/chemdb_ontology?abbrev=ST 21:3;O5,361.20222
/resources/tools/chemdb_ontology?abbrev=FA 20:6;O,361.20222
/resources/tools/chemdb_ontology?abbrev=ST 20:3;O3,361.20222
/resources/tools/chemdb_ontology?abbrev=ST 19:3;O3,361.20222
/resources/tools/chemdb_ontology?abbrev=FA 15:4,233.15446
/resources/tools/chemdb_ontology?abbrev=WE 15:4,233.15446
/resources/tools/chemdb_ontology?abbrev=FA 15:5,277.14455
/resources/tools/chemdb_ontology?abbrev=WE 15:5,277.14455
/resources/tools/chemdb_ontology?abbrev=FA 14:5,277.14455
/resources/tools/chemdb_ontology?abbrev=ST 32:7;O8,277.14455
/resources/tools/chemdb_ontology?abbrev=ST 27:2;O6,509.31210
